year,province,district,locality,mining_activity,allocated_mzn_m,realised_mzn_m
2024,Manica,Machipada,"Ouro, Bauxite e Água Min",,3.3,3.3
2024,Maputo,Namaacha,Namaacha,Água Mineral,0.2,0.2
2024,Maputo,Moamba,Pessene,Pedra (Riolito),1.3,1.3
2024,Maputo,Moamba,Sábié,Riolito,0.0,0.0
2024,Nampula,Angoche,Angoche,Areias pesadas,4.4,4.4
2024,Nampula,Mogovolas,Luluti,Turmalinas,0.1,0.1
2024,Nampula,Moma,Moma,Iimenite,5.5,5.5
2024,Nampula,Meconta,Muecate,,0.0,0.0
2024,Nampula,Nacala,Mutiva,,0.0,0.0
2024,Nampula,Nacala,Nacala,,0.0,0.0
2024,Nampula,Ribaue,Ribaue,Água Mineral,0.1,0.1
2024,Nampula,Larde,Topuito,Areias pesadas,41.5,41.5
2024,Niassa,Marrupa,Brigilane,Ouro,0.1,0.1
2024,Sofala,Chibabava,Chibabava,,0.1,0.1
2024,Sofala,Buzi,Estaquinha,Calcário,0.1,0.1
2024,Sofala,Dondo,Mafambisse,,0.0,0.0
2024,Sofala,Nhamatanda,Nhamatanda,Saibro,0.1,0.1
2024,Tete,25 de Setembro,Carvão Mineral,,25.1,25.1
2024,Tete,Chipanga II,Carvão Mineral,,25.1,25.1
2024,Tete,Benga,Carvão Mineral,,11.4,11.4
2024,Tete,Moatize,Cateme,Carvão Mineral,25.1,25.1
2024,Tete,Chiúta,Caunda,Água Mineral,0.1,0.1
2024,Tete,Cahora Bassa,Chitima,"Carvão Mineral, Brita",9.4,9.4
2024,Tete,Angónia,Dómue,Ouro,1.2,1.2
2024,Tete,Marara,Kachembe,Carvão Mineral,0.6,0.6
2024,Zambezia,Gilé,Gilé,Ouro,0.1,0.1
2024,Zambezia,Gurué,Gurué,,0.0,0.0
2024,Zambezia,Micaune,"Ilmenite, Zircão",,32.8,32.8
2024,Zambezia,Chinde,Mitange,"Ilmenite, Titânio, Zircão",13.2,13.2
2024,Zambezia,Morrumbala,Morrumbala,Granito,10.6,10.6
2024,Zambezia,Pebane,Pebane,Areias pesadas,7.9,7.9
2024,Zambezia,Alto Moloucue,"Tantalite, Lepidolite",,0.3,0.3
